t	J
1150	0.001257944
1155	0.001264776
1160	0.001271293
1165	0.001277488
1170	0.001283356
1175	0.001288894
1180	0.001294096
1185	0.001298958
1190	0.001303476
1195	0.001307646
1200	0.001311466
1205	0.001314931
1210	0.001318039
1215	0.001320788
1220	0.001323175
1225	0.001325198
1230	0.001326856
1235	0.001328146
1240	0.001329069
1245	0.001329623
1250	0.001329808
1255	0.001329623
1260	0.001329069
1265	0.001328146
1270	0.001326856
1275	0.001325198
1280	0.001323175
1285	0.001320788
1290	0.001318039
1295	0.001314931
1300	0.001311466
1305	0.001307646
1310	0.001303476
1315	0.001298958
1320	0.001294096
1325	0.001288894
1330	0.001283356
1335	0.001277488
1340	0.001271293
1345	0.001264776
1350	0.001257944
1355	0.001250801
1360	0.001243353
1365	0.001235607
1370	0.001227567
1375	0.001219241
1380	0.001210635
1385	0.001201757
1390	0.001192611
1395	0.001183207
1400	0.001173551
1405	0.001163651
1410	0.001153513
1415	0.001143146
1420	0.001132558
1425	0.001121756
1430	0.001110749
1435	0.001099544
1440	0.00108815
1445	0.001076575
1450	0.001064827
1455	0.001052915
1460	0.001040846
1465	0.001028631
1470	0.001016276
1475	0.001003791
1480	0.000991184
1485	0.000978464
1490	0.000965639
1495	0.000952716
1500	0.000939706
1505	0.000926616
1510	0.000913455
1515	0.00090023
1520	0.000886951
1525	0.000873625
1530	0.000860259
1535	0.000846864
1540	0.000833445
1545	0.000820011
1550	0.000806569
1555	0.000793128
1560	0.000779693
1565	0.000766274
1570	0.000752876
1575	0.000739507
1580	0.000726174
1585	0.000712883
1590	0.000699641
1595	0.000686454
1600	0.000673329
1605	0.000660271
1610	0.000647287
1615	0.000634382
1620	0.000621561
1625	0.00060883
1630	0.000596195
1635	0.000583659
1640	0.000571229
1645	0.000558908
1650	0.0005467
1655	0.000534611
1660	0.000522644
1665	0.000510803
1670	0.000499092
1675	0.000487513
1680	0.000476071
1685	0.000464769
1690	0.000453608
1695	0.000442593
1700	0.000431725
1705	0.000421008
1710	0.000410442
1715	0.00040003
1720	0.000389774
1725	0.000379676
1730	0.000369736
1735	0.000359957
1740	0.000350339
1745	0.000340883
1750	0.00033159
1755	0.000322462
1760	0.000313497
1765	0.000304697
1770	0.000296062
1775	0.000287591
1780	0.000279285
1785	0.000271144
1790	0.000263167
1795	0.000255354
1800	0.000247704
1805	0.000240216
1810	0.00023289
1815	0.000225725
1820	0.000218719
1825	0.000211872
1830	0.000205183
1835	0.000198649
1840	0.00019227
1845	0.000186044
1850	0.00017997
1855	0.000174046
1860	0.00016827
1865	0.00016264
1870	0.000157155
1875	0.000151813
1880	0.000146612
1885	0.00014155
1890	0.000136624
1895	0.000131833
1900	0.000127175
1905	0.000122648
1910	0.000118249
1915	0.000113976
1920	0.000109826
1925	0.000105799
1930	0.000101891
1935	9.81E-05
1940	9.44E-05
1945	9.09E-05
1950	8.74E-05
1955	8.41E-05
1960	8.08E-05
1965	7.77E-05
1970	7.46E-05
1975	7.17E-05
1980	6.89E-05
1985	6.61E-05
1990	6.35E-05
1995	6.09E-05
2000	5.84E-05
2005	5.60E-05
2010	5.37E-05
2015	5.15E-05
2020	4.93E-05
2025	4.73E-05
2030	4.53E-05
2035	4.34E-05
2040	4.15E-05
2045	3.97E-05
2050	3.80E-05
2055	3.63E-05
2060	3.47E-05
2065	3.32E-05
2070	3.17E-05
2075	3.03E-05
2080	2.89E-05
2085	2.76E-05
2090	2.64E-05
2095	2.52E-05
2100	2.40E-05
2105	2.29E-05
2110	2.18E-05
2115	2.08E-05
2120	1.98E-05
2125	1.89E-05
2130	1.80E-05
2135	1.71E-05
2140	1.63E-05
2145	1.55E-05
2150	1.48E-05
2155	1.41E-05
2160	1.34E-05
2165	1.27E-05
2170	1.21E-05
2175	1.15E-05
2180	1.09E-05
2185	1.03E-05
2190	9.81E-06
2195	9.31E-06
2200	8.84E-06
2205	8.38E-06
2210	7.95E-06
2215	7.53E-06
2220	7.14E-06
2225	6.76E-06
2230	6.41E-06
2235	6.07E-06
2240	5.74E-06
2245	5.43E-06
2250	5.14E-06
2255	4.86E-06
2260	4.60E-06
2265	4.35E-06
2270	4.11E-06
2275	3.88E-06
2280	3.67E-06
2285	3.46E-06
2290	3.27E-06
2295	3.08E-06
2300	2.91E-06
2305	2.74E-06
2310	2.59E-06
2315	2.44E-06
2320	2.30E-06
2325	2.17E-06
2330	2.04E-06
2335	1.92E-06
2340	1.81E-06
2345	1.70E-06
2350	1.60E-06
2355	1.51E-06
2360	1.42E-06
2365	1.33E-06
2370	1.25E-06
2375	1.18E-06
2380	1.10E-06
2385	1.04E-06
2390	9.73E-07
2395	9.13E-07
2400	8.57E-07
2405	8.04E-07
2410	7.54E-07
2415	7.07E-07
2420	6.62E-07
2425	6.20E-07
2430	5.81E-07
2435	5.44E-07
2440	5.09E-07
2445	4.77E-07
2450	4.46E-07
2455	4.17E-07
2460	3.90E-07
2465	3.65E-07
2470	3.41E-07
2475	3.19E-07
2480	2.98E-07
2485	2.78E-07
2490	2.59E-07
2495	2.42E-07
2500	2.26E-07
